make,model,vin,price,year,mileage,engine,extCol,intCol,trans,dtype,mpgCity,mpgHw,condition
Honda,Accord,1HGCM82203A002510,5699.0,2003,98634,6 Cyl,Gold,Tan,Automatic,FWD,19,27,Used
Honda,Pilot,5FNYF4H94BB096862,15597.0,2011,101000,6 Cyl,White,Gray,Automatic,4WD,16,22,Used
Honda,Accord,1HGCM82203A002510,5699.0,2003,98634,6 Cyl,Gold,Tan,Automatic,FWD,19,27,Used
Honda,CR-V,5J6RM4H56GL141354,19242.0,2016,31461,4 Cyl,White,Gray,Automatic,AWD,25,31,Used
Honda,CR-V,5J6RW2H88HL001493,25688.0,2017,25913,4 Cyl,Gray,Gray,Automatic,AWD,27,33,Used
Honda,Civic,2HGFC2F52HH551670,17488.0,2017,2510,4 Cyl,Purple,Unspecified,Automatic,FWD,31,40,Used
Honda,Ridgeline,5FPYK1F73DB015033,18981.0,2013,63981,6 Cyl,White,Black,Automatic,4WD,16,21,Used
Honda,Accord,1HGCT1B78GA008745,17288.0,2016,36017,4 Cyl,Gray,Black,Automatic,FWD,26,34,Used
Honda,Accord,1HGCR2F31HA222926,16988.0,2017,34249,4 Cyl,Gray,Black,Automatic,FWD,26,34,Used
Honda,Accord,1HGCR2F30HA125121,16900.0,2017,25993,4 Cyl,Brown,Unspecified,Automatic,FWD,26,34,Used
Honda,CR-V,3CZRM3H51EG706288,15488.0,2014,55552,4 Cyl,Unspecified,Unspecified,Automatic,FWD,23,30,Used
Honda,Pilot,5FNYF6H98HB102103,34918.0,2017,12743,6 Cyl,White,Unspecified,Automatic,AWD,18,26,Used
Honda,CR-V,7FARW2H94JE098008,30990.0,2018,3783,4 Cyl,Gray,Gray,Automatic,AWD,27,33,Used
Honda,Civic,19XFB2F55EE249833,10795.0,2014,60163,4 Cyl,Red,Tan,Automatic,FWD,29,37,Used
Honda,Accord,1HGCV1F32KA077439,22990.0,2019,17574,4 Cyl,Black,Red,Automatic,FWD,29,35,Used
Honda,Accord,1HGCR2F50GA229124,10990.0,2016,154624,4 Cyl,Black,Black,Automatic,FWD,26,34,Used
Honda,Pilot,5FNYF6H42GB068842,23100.0,2016,47143,6 Cyl,Blue,Tan,Automatic,AWD,18,25,Used
Honda,Accord,1HGCP2F84CA107621,8594.0,2012,150107,4 Cyl,Gray,Gray,Automatic,FWD,22,33,Used
Honda,CR-V,5J6RM3H76CL035489,13481.0,2012,78514,4 Cyl,Red,Gray,Automatic,FWD,23,30,Used
