School / District,English: Standard Met or Exceeded 2018,English: Standard Met or Exceeded 2019,English: Percentage Changed,Math: Standard Met or Exceeded 2018,Math: Standard Met or Exceeded 2019,Math: Percentage Changed,IsSchool
Willard Intermediate,12.59,11.35,-1.24,5.78,4.11,-1.67,1
Joaquin Moraga Intermediate,87.38,87.99,0.61,79.16,83.94,4.78,1
Pershing Middle,68.03,62.58,-5.45,50.32,53.51,3.19,1
Louis Pasteur Fundamental Middle,43.64,50.15,6.51,50.81,50,-0.81,1
San Clemente High,74.3,68.24,-6.06,49.53,50.53,1,1
B. Gale Wilson Elementary,44.96,45.22,0.26,30.63,29.44,-1.19,1
Black Oak Mine Unified School District,37.76,44.07,6.31,30.11,27.66,-2.45,0
Mesa Verde Middle,65.28,59.36,-5.92,51.26,48.18,-3.08,1
North Monterey County Middle,30.03,26.9,-3.13,16.39,14.61,-1.78,1
La Vina Middle,45.13,48.02,2.89,34.88,33.94,-0.94,1
Winton Middle,47.63,51.53,3.9,33.87,34.15,0.28,1
Ruben S. Ayala High,76.89,64.57,-12.32,55.26,43.9,-11.36,1
Columbia Elementary,50.87,51.69,0.82,29.62,31.55,1.93,1
Norwood Junior High,45.32,38.52,-6.8,30.72,28.2,-2.52,1
Coalinga Middle,29.13,33.02,3.89,12.28,14.53,2.25,1
Cypress High,80.78,79.69,-1.09,47.31,47.93,0.62,1
Portola Middle,31.29,32.57,1.28,22.96,22.02,-0.94,1
Citrus Middle,43.27,44.39,1.12,23.53,26.87,3.34,1
Bolsa Knolls Middle,40.06,42.44,2.38,20.18,17.58,-2.6,1
Chino Hills High,61.37,65.44,4.07,44.53,49.62,5.09,1
Spring View Middle,57.88,58,0.12,51.43,52.29,0.86,1
Edendale Middle,20.97,16.85,-4.12,9.31,8.73,-0.58,1
Wilson Middle,29.88,31.97,2.09,16.84,18.68,1.84,1
Delta Sierra Middle,31.33,27.5,-3.83,11.71,11.41,-0.3,1
North Park Academy of the Arts,30.2,34.25,4.05,18.05,16.46,-1.59,1
Valadez Middle School Academy,39.67,40,0.33,28.9,24.88,-4.02,1
Los Tules Middle,29.79,35.94,6.15,15.19,16.9,1.71,1
Nicolas Junior High,35.75,33.44,-2.31,22.42,19.38,-3.04,1
Aptos Junior High,60.48,58.27,-2.21,48.33,50,1.67,1
John F. Kennedy Middle,50.37,51.21,0.84,35.76,35.09,-0.67,1
California High,86.37,76.97,-9.4,67.04,61.42,-5.62,1
Bert M. Lynn Middle,73.48,72.25,-1.23,66.67,67.9,1.23,1
Montclair High,63.33,64.61,1.28,33.19,35.09,1.9,1
San Benito High,57.91,59.44,1.53,34.78,31.76,-3.02,1
Clara Barton Elementary,71.06,71.78,0.72,69.13,68.47,-0.66,1
Earl Warren Middle,78.78,76.67,-2.11,74.32,74.5,0.18,1
Schurr High,54.79,59.69,4.9,23.14,21.96,-1.18,1
Nestor Language Academy Charter,50.42,49.23,-1.19,53.43,51.39,-2.04,1
Making Waves Academy,44.42,49.85,5.43,25.19,25.85,0.66,1
Piedmont Middle,88.07,88.24,0.17,83.64,86.22,2.58,1
Lakeview Middle,24.29,20.9,-3.39,12.09,10.25,-1.84,1
Gavilan View Middle,39.66,40.93,1.27,18.1,17.42,-0.68,1
Gorman Learning Center,38.33,33.44,-4.89,20.62,20.03,-0.59,1
King Elementary,35.01,33.85,-1.16,24.6,19.84,-4.76,1
Elizabeth Terronez Middle,24.92,24.57,-0.35,9.28,13.95,4.67,1
Calle Mayor Middle,68.25,73.87,5.62,65.92,69.57,3.65,1
Coachella Valley High,35,35.68,0.68,16.56,18.54,1.98,1
Easterbrook Discovery,76.52,75.86,-0.66,71.7,75.12,3.42,1
Garvey (Richard) Intermediate,57.23,59.03,1.8,51.25,56.61,5.36,1
Miller Creek Middle,76.17,74.18,-1.99,67.52,63.14,-4.38,1
Murray Middle,47.1,51.48,4.38,35.83,35.77,-0.06,1
Castro Valley High,70.45,67.92,-2.53,59.97,59.81,-0.16,1
El Camino High,61.79,54.98,-6.81,36.5,27.32,-9.18,1
Fairgrove Academy,52,55.23,3.23,46.09,44.7,-1.39,1
Oso Grande Elementary,79.25,79.25,0,75.79,76.91,1.12,1
Manchester Gate,91.93,95.63,3.7,92.22,93.6,1.38,1
Willard Middle,71.95,77.34,5.39,65.06,70.22,5.16,1
Sierra Unified School District,48.45,50,1.55,37.27,35.99,-1.28,0
Yreka Union Elementary School District,40.71,38.03,-2.68,35.51,28.91,-6.6,0
Pepper Drive Elementary,51.19,47.89,-3.3,46.97,44.04,-2.93,1
Mammoth Unified School District,46.31,52.22,5.91,35.89,36.83,0.94,0
John H. Still,15.74,21.98,6.24,10.11,15.52,5.41,1
Brightwood Elementary,71.39,71.27,-0.12,66.87,65.2,-1.67,1
Lakeland Village,26.93,30.49,3.56,14.42,14.26,-0.16,1
Jefferson Middle,73.19,72.84,-0.35,64.88,61.76,-3.12,1
Vina Danks Middle,33.59,38.93,5.34,20.38,23.08,2.7,1
Alicante Avenue Elementary,25.88,25.31,-0.57,20.8,22.12,1.32,1
Cielo Vista Charter,64.86,65.57,0.71,52.25,47.17,-5.08,1
Terman Middle,82.54,85.04,2.5,81.61,81.45,-0.16,1
Mountain View Middle,31.5,39.56,8.06,15.53,19.84,4.31,1
Pixley Union Elementary School District,19.57,28.98,9.41,13.14,19.91,6.77,0
Lorbeer Middle,52.95,53.96,1.01,35.1,35.59,0.49,1
Izaak Walton Intermediate,53.04,54.17,1.13,39.24,37.48,-1.76,1
Denair Unified School District,26.44,26.62,0.18,12.56,16.09,3.53,0
Slauson Intermediate,32.86,37.38,4.52,16.91,27.44,10.53,1
Sierra Middle,56.79,54.75,-2.04,32.82,31.27,-1.55,1
Los Cerros Middle,78.17,78.2,0.03,66.67,70.03,3.36,1
Trabuco Hills High,79.97,72.31,-7.66,49.22,51.59,2.37,1
Crescenta Valley High,73.6,66.72,-6.88,56.48,57.78,1.3,1
Oxford Academy,98.87,98.42,-0.45,95.46,95.56,0.1,1
Garretson Elementary,51.44,55.63,4.19,37.33,40.13,2.8,1
Tetzlaff (Martin B.) Middle,66.61,68.67,2.06,51.21,53.4,2.19,1
Foothill Ranch Elementary,69.82,73.38,3.56,63.5,67.67,4.17,1
Stonegate Elementary,84.96,84.82,-0.14,83.57,79.71,-3.86,1
San Ysidro Middle,30.58,32.01,1.43,18.14,13.61,-4.53,1
Franklin High,65.26,74.17,8.91,46.76,57.56,10.8,1
Longden Elementary,65.88,66.24,0.36,68.49,70.36,1.87,1
East Avenue Middle,65.52,59.21,-6.31,47.42,40.22,-7.2,1
Cajon High,61.75,54.7,-7.05,25,24.13,-0.87,1
Vista Verde,87,87.58,0.58,82.25,81.27,-0.98,1
Heinz Kaiser Elementary,69.72,70.02,0.3,68.08,67.78,-0.3,1
Independence High,63.1,66.88,3.78,38.75,43.63,4.88,1
Fort Miller Middle,13.05,14.49,1.44,5.63,4.99,-0.64,1
Milpitas High,75.43,78.95,3.52,57.78,62.84,5.06,1
Woodbury Elementary,74.4,75,0.6,70.87,72.13,1.26,1
Inland Leaders Charter,72.01,72.84,0.83,72.67,72.77,0.1,1
Great Valley Academy,42.9,46.97,4.07,33.65,37.44,3.79,1
Cesar E. Chavez Middle,28.82,25.16,-3.66,9.81,11.4,1.59,1
Rolling Hills Middle,21.49,19.44,-2.05,11.36,10.21,-1.15,1
Ross (Faye) Middle,57.91,49.76,-8.15,48.99,47.93,-1.06,1
San Bernardino County Office of Education,6.63,6.09,-0.54,2.78,1.12,-1.66,0
California Military Institute,39.73,39.87,0.14,19.7,21.85,2.15,1
Spreckels Union Elementary School District,60.61,65.87,5.26,50.32,52.08,1.76,0
Robert C. Fisler Elementary,89.89,89.77,-0.12,83.74,84.37,0.63,1
O. J. Actis Junior High,52.76,48.96,-3.8,21.94,26.12,4.18,1
Woodrow Wilson Junior High,47.23,46.73,-0.5,38.93,42.31,3.38,1
Everett Alvarez High,52.45,39.26,-13.19,18.71,12.52,-6.19,1
Wilson C. Riles Middle,42.9,48,5.1,37.69,36.16,-1.53,1
Katella High,49.69,55.52,5.83,10.09,16.85,6.76,1
Hedenkamp (Anne and William) Elementary,71.09,73.79,2.7,63.04,65.44,2.4,1
Alexander Hamilton Elementary,12.25,17.66,5.41,10.02,11.2,1.18,1
Valencia High,73.59,68.11,-5.48,51.77,47.76,-4.01,1
Innovative Horizons Charter,37.44,42.22,4.78,23.79,24.84,1.05,1
Walter Woodward Elementary,46.62,51.28,4.66,32.24,36.28,4.04,1
Esperanza Elementary,49.92,44.3,-5.62,36.98,33.87,-3.11,1
Mark Twain Elementary,63.51,61.03,-2.48,53.07,54.74,1.67,1
Don Callejon,59.87,62.38,2.51,53.53,51.37,-2.16,1
Animo Western Charter Middle,28.57,28.36,-0.21,14.31,20.26,5.95,1
Nevada Joint Union High School District,61.66,68.82,7.16,36.43,39.25,2.82,0
Oak Grove Union Elementary School District,61.07,60.93,-0.14,50.97,49.2,-1.77,0
Potrero Elementary,37.86,38.59,0.73,28.02,29.9,1.88,1
Marston Middle,56.09,55.88,-0.21,45.19,47.59,2.4,1
Oak Grove Elementary/Willowside Middle,61.07,61.03,-0.04,50.97,49.28,-1.69,1
Tioga Middle,28.21,34.68,6.47,10.03,17.24,7.21,1
Troy High,85.62,87.58,1.96,77.05,80.16,3.11,1
Granger Junior High,44.19,42.46,-1.73,27.48,35.86,8.38,1
Hamilton Elementary,29.26,30.21,0.95,18.96,21.56,2.6,1
Chaparral Middle,54.52,55.5,0.98,34.45,36.03,1.58,1
Cesar E. Chavez Elementary,22.33,26.46,4.13,11.46,15.37,3.91,1
Lathrop Elementary,32.44,36.26,3.82,20.79,19.58,-1.21,1
Woodland Hills Academy,36.63,39.64,3.01,20.78,23.95,3.17,1
Vista Preparatory Academy,40.71,39.25,-1.46,32.09,33.71,1.62,1
Valencia High,80.77,79.21,-1.56,57.42,56.56,-0.86,1
Santa Monica High,79.15,81.28,2.13,50.98,56.4,5.42,1
Morrill Middle,60.06,58.96,-1.1,47.78,51.86,4.08,1
Mission Crest Elementary,29.01,28.25,-0.76,23.5,21.63,-1.87,1
Cesar Chavez Junior High,34.83,33.22,-1.61,16.24,18.18,1.94,1
Hilton D. Bell Intermediate,76.12,78.7,2.58,64.21,68.18,3.97,1
Clyde Woodworth Elementary,21.65,28.71,7.06,20.31,15.26,-5.05,1
Oxnard High,41.28,38.37,-2.91,22.73,18.49,-4.24,1
Clovis High,72.79,78.3,5.51,45.15,48.86,3.71,1
Buchanan High,85.21,88.58,3.37,54.81,55.3,0.49,1
Orange Vista High,49.13,47.56,-1.57,16.34,12.72,-3.62,1
Lee Middle,33.81,32.41,-1.4,26.54,22.61,-3.93,1
Carmel Middle,85.15,79.8,-5.35,71.45,68.43,-3.02,1
Del Sur Senior Elementary,43.6,42.32,-1.28,26.14,31.42,5.28,1
California Pacific Charter - San Diego,48.69,51.63,2.94,32.83,33.77,0.94,1
Cobalt Institute of Math and Science Academy,55.37,57.54,2.17,28.86,31.97,3.11,1
Anna McKenney Intermediate,38.39,34.81,-3.58,26.3,23.77,-2.53,1
Boulder Creek Elementary,58.35,53.54,-4.81,41.56,46.47,4.91,1
Luiseno,44.06,46.47,2.41,34.13,34.65,0.52,1
Robinson Academy,41.85,45.81,3.96,40.86,43.19,2.33,1
STEAM Academy @ Burke,54.17,58.88,4.71,35.52,41.71,6.19,1
Auburndale Intermediate,34.22,31.69,-2.53,17.64,14.38,-3.26,1
William J. (Pete) Knight High,44.04,47.53,3.49,16.32,14.85,-1.47,1
Yucaipa High,63.41,65.95,2.54,31.73,34.76,3.03,1
Tesoro High,77.01,84.27,7.26,51.36,64.91,13.55,1
E. A. Hall Middle,14.85,15.63,0.78,7.01,6.33,-0.68,1
Lindbergh STEM Academy,34.47,33.22,-1.25,25.73,20.3,-5.43,1
Segerstrom High,55.26,50.33,-4.93,29.46,29.9,0.44,1
Fall River Joint Unified School District,37.5,37.85,0.35,35.28,37.85,2.57,0
Arroyo Vista Charter,85.03,83.53,-1.5,73.13,70.46,-2.67,1
Bret Harte Middle,35.14,35.48,0.34,25,23.72,-1.28,1
Los Amigos,55.16,56.62,1.46,39.44,39.44,0,1
Cecil Avenue Math and Science Academy,33.64,37.42,3.78,18.66,22.94,4.28,1
Liberty Middle,56.97,54.41,-2.56,43,45.05,2.05,1
San Rafael City High School District,53.86,52.25,-1.61,37.14,35.33,-1.81,0
Thirty-Second Street USC Performing Arts,41.76,48.18,6.42,31.68,38.35,6.67,1
Alliance Ouchi-O'Donovan 6-12 Complex,43.55,49.09,5.54,20.83,31.07,10.24,1
"Johnnie Cochran, Jr., Middle",26.76,23,-3.76,14.04,11.9,-2.14,1
Saint Helena Unified School District,63.9,66.89,2.99,45.36,50.41,5.05,0
Mission Hills High,61.69,64.39,2.7,30.14,35.82,5.68,1
Canyon Crest Academy,90.42,87.89,-2.53,81.89,80.37,-1.52,1
New Open World Academy K-12,27.78,30.73,2.95,17.67,19.73,2.06,1
Camarena (Enrique S.) Elementary,74.64,76.74,2.1,64.23,69.65,5.42,1
Westlake Charter,66.78,62.85,-3.93,50.68,52.49,1.81,1
Almond Tree Middle,33.82,41.46,7.64,19.48,29.57,10.09,1
Riverside County Office of Education,8.66,10.47,1.81,1.02,1.35,0.33,0
George Y. Komure Elementary,36.92,37.33,0.41,23.34,24.58,1.24,1
Foothill Ranch Middle,30.05,33.56,3.51,33.39,29.73,-3.66,1
Parkway Heights Middle,35.84,38.61,2.77,26.32,24.17,-2.15,1
Cottonwood Union Elementary School District,47.1,44.74,-2.36,44.9,41.6,-3.3,0
Saul Martinez Elementary,31.8,33.56,1.76,32.52,30.12,-2.4,1
Caroldale Learning Community,46.11,48.75,2.64,39.29,43.43,4.14,1
Brock Elliott Elementary,58.78,55.41,-3.37,33.06,37.77,4.71,1
Caruthers Elementary,39.14,39.26,0.12,38.16,36.94,-1.22,1
Antelope Elementary School District,56.87,49.5,-7.37,45.87,45.09,-0.78,0
Colonel Mitchell Paige Middle,45.08,50,4.92,31.91,25.17,-6.74,1
Emerson Middle,35.26,36.96,1.7,11.34,14.98,3.64,1
Amador Valley High,80.16,80.67,0.51,70.99,70.02,-0.97,1
Calipatria Unified School District,43.39,45.47,2.08,24.8,26.83,2.03,0
Imperial Beach Charter,55.28,53.42,-1.86,40.39,40.5,0.11,1
Westborough Middle,61.41,67.45,6.04,64.8,61.37,-3.43,1
Emerald Middle,24.33,29.72,5.39,9.15,11.03,1.88,1
James A. Garfield Senior High,64.61,69.06,4.45,39.49,33.56,-5.93,1
Art Freiler,43.89,46.32,2.43,39.73,40.44,0.71,1
John C. Fremont Elementary,15.36,18.23,2.87,8.02,12.04,4.02,1
John Sutter Middle,46.48,47.57,1.09,31.86,37.52,5.66,1
El Portal Middle,43.92,45.82,1.9,28.22,30.2,1.98,1
Pioneer Valley High,55.71,61.14,5.43,19.93,28.64,8.71,1
Liberty High,63.89,74.04,10.15,34.39,38.69,4.3,1
Salinas High,57.88,55.28,-2.6,28.37,31.6,3.23,1
Torch Middle,37.93,41.48,3.55,19.29,20.94,1.65,1
Chawanakee Unified School District,46.87,43.6,-3.27,24.2,26.17,1.97,0
Louis Lake Intermediate,56.69,63.3,6.61,37.54,42.62,5.08,1
Burbank High,68.83,68.07,-0.76,39.76,44.2,4.44,1
Baird Middle,61.2,64.54,3.34,46.66,49.41,2.75,1
Ridgeview Elementary,74.87,80.67,5.8,64.6,69.58,4.98,1
Encina Preparatory High,5.2,9.42,4.22,2.03,2.7,0.67,1
Bullis Charter,92.99,89.9,-3.09,93.33,90.89,-2.44,1
Liberty Elementary,24.07,24.96,0.89,16.56,16.89,0.33,1
Herbert Hoover Middle,34.32,41.55,7.23,17.59,19.93,2.34,1
Carlton Oaks Elementary,58.5,60.64,2.14,46.14,50,3.86,1
Vista View Middle,56.85,57.43,0.58,57.1,55.24,-1.86,1
Albert Einstein Academy Charter Middle,56.46,52.28,-4.18,44.12,43.75,-0.37,1
Sequoia Middle,46.09,48.81,2.72,27.29,30.07,2.78,1
Del Vallejo Middle,16.05,20.17,4.12,6.42,5.07,-1.35,1
"Clinton, William Jefferson",51.24,50.59,-0.65,45.66,45.41,-0.25,1
Butte Vista Elementary,56.57,61.8,5.23,47.92,47.38,-0.54,1
Orville Wright Engineering and Design Magnet,36.09,40.44,4.35,23.83,20.2,-3.63,1
Arroyo Valley High,51.42,44.58,-6.84,21.79,20.41,-1.38,1
Foothill High,79.31,77.8,-1.51,50.46,51.9,1.44,1
University Preparatory,77.46,75.25,-2.21,66.33,65.59,-0.74,1
Dr. Walter C. Ralston Intermediate,65.26,64.88,-0.38,51.13,45.16,-5.97,1
Hercules Middle,52.62,51.19,-1.43,33.5,32.71,-0.79,1
Joe Stefani,37.97,39.49,1.52,22.87,26.28,3.41,1
Torrey Pines High,84.73,77.76,-6.97,69.86,62.41,-7.45,1
Clovis East High,65.83,74.83,9,38.01,46.15,8.14,1
Folsom High,82.95,84.69,1.74,65.77,64.55,-1.22,1
Clayton Valley Charter High,71.77,72.4,0.63,46.08,48.21,2.13,1
Charles Maclay Middle,31.18,22.94,-8.24,17.2,14.46,-2.74,1
Norman L. Sullivan Middle,61.43,65.82,4.39,53.35,55.78,2.43,1
Bear River,46.18,50,3.82,38.79,40.82,2.03,1
Acton-Agua Dulce Unified School District,49.57,53.53,3.96,37.22,36.43,-0.79,0
Turlock High,67.04,61.92,-5.12,30.25,28.79,-1.46,1
Richardson Prep Hi,91.95,90.63,-1.32,77.35,82.79,5.44,1
Mission Hill Middle,64.07,65.36,1.29,52.03,49.91,-2.12,1
La Serna High,68.21,71.06,2.85,36.83,37.88,1.05,1
Pleasant Grove High,78,80.03,2.03,66.54,66.38,-0.16,1
Alta Loma High,68.15,72.18,4.03,38.99,40.14,1.15,1
Channel Islands High,38.62,39.32,0.7,17.11,18.01,0.9,1
Monte Vista High,90.69,85.59,-5.1,69.71,68.26,-1.45,1
Beechwood Elementary,80.5,82.05,1.55,70.92,76.28,5.36,1
Riverdale Elementary,36.05,37.95,1.9,27.13,29.01,1.88,1
Charles W. Tewinkle Middle,36.57,42.29,5.72,34.9,32.65,-2.25,1
La Quinta High,63.25,57.53,-5.72,27.03,30.7,3.67,1
Olympian High,76.94,76.67,-0.27,51.09,48.79,-2.3,1
Sheldon High,47.83,67.12,19.29,27.35,35.03,7.68,1
Home Gardens Academy,46.85,48.19,1.34,28.75,35.96,7.21,1
Lemonwood Elementary,25,22.09,-2.91,13.44,12.35,-1.09,1
Davis (Caroline) Intermediate,42.36,44.71,2.35,29.85,34.08,4.23,1
Knox Middle,22.48,20.45,-2.03,7.74,8.23,0.49,1
Saugus High,82.82,89.02,6.2,49.63,63.37,13.74,1
Vejar Elementary,36.98,32.76,-4.22,25.17,23.58,-1.59,1
Sandia Elementary,18.05,23.16,5.11,9.47,10.9,1.43,1
Washington Union Elementary School District,73.68,71.82,-1.86,62.31,57.46,-4.85,0
Wilhelmina Henry Elementary,21.27,23.26,1.99,19.15,18.87,-0.28,1
Telesis Academy of Science & Math,48.26,43.74,-4.52,37.25,33.33,-3.92,1
A. G. Currie Middle,34.03,29.69,-4.34,17.8,18.35,0.55,1
Bernardo Yorba Middle,74.96,71.13,-3.83,63.95,63.64,-0.31,1
Tenaya Middle,34.11,28.55,-5.56,14.52,11.84,-2.68,1
Homestead High,76.45,78.52,2.07,71.35,73.53,2.18,1
Temecula Preparatory,66.15,70.96,4.81,50.09,55.42,5.33,1
Norris Elementary,60,54.3,-5.7,51.23,50.34,-0.89,1
El Sol Santa Ana Science and Arts Academy,55.5,58.35,2.85,48.29,47.94,-0.35,1
Fairfax Jr. High,28.47,30.05,1.58,14.19,17.18,2.99,1
Washington Middle,38.71,46.55,7.84,23.25,22.97,-0.28,1
Rudolph Rivera Middle,45.83,42.83,-3,22.7,19.79,-2.91,1
Polytechnic High,49.16,77.85,28.69,22.05,36.55,14.5,1
Freedom High,46.78,62.61,15.83,18.86,23.62,4.76,1
Stella Brockman Elementary,44.94,45.93,0.99,28.31,28.1,-0.21,1
Golden Elementary,91.24,90,-1.24,88.62,87.24,-1.38,1
Venado Middle,72.23,76.9,4.67,69.04,73.62,4.58,1
Philip Magruder Middle,61.01,62.76,1.75,46.43,50.69,4.26,1
Cesar Chavez Middle,24.03,21.97,-2.06,12.45,12.76,0.31,1
Beaumont Senior High,59.46,52.34,-7.12,26.54,23.92,-2.62,1
Sunnyside High,43.03,53.55,10.52,11.74,16.43,4.69,1
Walnut High,81.55,82.01,0.46,72.45,70.93,-1.52,1
San Leandro High,49.41,57.27,7.86,20.93,19.48,-1.45,1
Bryant Middle,18.48,17.88,-0.6,10.13,8.3,-1.83,1
Kermit McKenzie Junior High,16.39,25.17,8.78,4.2,12.46,8.26,1
Patton Elementary,79.2,79.86,0.66,76.62,76.95,0.33,1
Newton Middle,59.7,59.45,-0.25,41.38,35.19,-6.19,1
Paulding Middle,57.53,61.28,3.75,40.88,42.98,2.1,1
Valiant Academy of Los Angeles,32.58,40.46,7.88,20.73,21.25,0.52,1
Clovis North High,92.4,95.83,3.43,65.11,69.91,4.8,1
Corona Ranch Elementary,67.01,62.96,-4.05,55.97,53.99,-1.98,1
Melinda Heights Elementary,73.54,71.6,-1.94,67.35,66.15,-1.2,1
August Knodt Elementary,41.76,40.17,-1.59,25.32,25.69,0.37,1
Palmdale Learning Plaza,43.23,47.22,3.99,35.34,35.07,-0.27,1
Camerado Springs Middle,58.52,66.84,8.32,50.68,55.73,5.05,1
Bell Gardens High,38.74,46.26,7.52,10.09,14.98,4.89,1
Dana Hills High,65.67,72.6,6.93,47.13,45.77,-1.36,1
California Connections Academy @ Ripon,54.29,58.61,4.32,26.02,27.15,1.13,1
Terra Bella Union Elementary School District,29.64,30.82,1.18,26.92,26.83,-0.09,0
Elmwood Elementary,23.32,27.64,4.32,17.07,17.57,0.5,1
Franklin Middle,16.88,23.28,6.4,7.75,12.98,5.23,1
Ardis G. Egan Junior High,85.29,88.87,3.58,87.46,83.48,-3.98,1
John F. Kennedy Elementary,64.22,63.86,-0.36,53.97,57.84,3.87,1
Plaza Vista,71.73,75.79,4.06,76.95,74.91,-2.04,1
Whaley Middle,22.63,32.4,9.77,18.86,29.44,10.58,1
William Sheppard Middle,40.85,41.61,0.76,26.35,29.49,3.14,1
John H. Francis Polytechnic,50.24,54,3.76,28.04,28.8,0.76,1
Forest Park Elementary,88.58,89.69,1.11,86.49,88.66,2.17,1
Alliance Gertz-Ressler Richard Merkin 6-12 Complex,56.3,61.26,4.96,35.06,41.19,6.13,1
Newcomb Academy,71.25,80.94,9.69,68.61,76.96,8.35,1
Stonegate Elementary,47.79,46.42,-1.37,40.85,38.92,-1.93,1
Crozier (George W.) Middle,23.98,24.87,0.89,10.38,9.25,-1.13,1
Lakeside Middle,59.31,57.27,-2.04,34.43,37.94,3.51,1
Freedom Elementary,16.29,22.16,5.87,13.69,17.48,3.79,1
Parlier Junior High,16.89,15.36,-1.53,6.39,4.11,-2.28,1
Downtown College Preparatory Middle,18.65,30.24,11.59,8.82,16.4,7.58,1
Mojave Vista Elementary,24.59,21.93,-2.66,13.32,16.61,3.29,1
Great Valley Academy - Salida,40.6,45.18,4.58,37.78,33.33,-4.45,1
Calavera Hills Middle,66.73,65.56,-1.17,51.94,44.99,-6.95,1
Kelly Elementary,43.78,42.38,-1.4,40.26,38.27,-1.99,1
Sylmar Leadership Academy,50.51,54.5,3.99,33.33,43.08,9.75,1
Samuel Kennedy Elementary,27.06,28.98,1.92,20,20.56,0.56,1
Ardenwood Elementary,84.24,85.29,1.05,86.28,84.21,-2.07,1
Norman N. Glick Middle,40.33,39.47,-0.86,23.63,22.5,-1.13,1
Zehnder Ranch Elementary,75.98,74.61,-1.37,66.05,66.49,0.44,1
Van Nuys Senior High,65.82,58.42,-7.4,39.23,35.88,-3.35,1
Modesto High,56.74,55.96,-0.78,26.29,26.28,-0.01,1
Ralph A. Gates Elementary,47.12,43.39,-3.73,43.42,41.4,-2.02,1
Cypress Village Elementary,79.58,77.54,-2.04,72.05,70.88,-1.17,1
Language Academy,56.69,63.86,7.17,48.74,52.83,4.09,1
Veritas Elementary,59.21,66.84,7.63,47.58,47.72,0.14,1
Adaline E. Kent Middle,78.85,76.49,-2.36,69.63,68.5,-1.13,1
Aspire Benjamin Holt Middle School,65.48,60.7,-4.78,48.02,47.45,-0.57,1
Ynez Elementary,59.09,64.09,5,59.61,60.46,0.85,1
Paakuma K-8,48.75,52.2,3.45,36.83,40.6,3.77,1
Ramona Junior High,36.72,43.19,6.47,14.18,21.3,7.12,1
Chula Vista Senior High,46.76,38.41,-8.35,17.8,11.62,-6.18,1
San Juan Hills High,82.56,83.57,1.01,45.54,49.47,3.93,1
Lincoln (Abraham) Elementary,17.36,18.2,0.84,16.51,20.42,3.91,1
Petaluma Junior High,56.14,56.46,0.32,40.39,40.39,0,1
Bessie E. Owens Intermediate,42.86,39.29,-3.57,29.8,25.09,-4.71,1
Newbury Park High,65.04,70.82,5.78,50,52.03,2.03,1
Valley Oaks Charter,42.23,40.68,-1.55,20.47,21.72,1.25,1
Alvin M. Dunn Elementary,34.5,35.1,0.6,26.93,25.57,-1.36,1
Sylvandale Middle,45.8,40.78,-5.02,32.32,25.04,-7.28,1
John F. Kennedy Junior High,37.73,42.05,4.32,33.16,32.33,-0.83,1
Cosumnes Oaks High,66.73,71.15,4.42,43.1,53.46,10.36,1
Mira Monte High,34.84,36.17,1.33,11.49,8.14,-3.35,1
Aromas/San Juan Unified School District,40.67,39.05,-1.62,28.77,30.02,1.25,0
Discovery Charter,78.21,77.74,-0.47,65.74,68.14,2.4,1
Wright Elementary,54.98,55.73,0.75,44.57,45.41,0.84,1
San Joaquin Elementary,27.81,31.98,4.17,19.15,21.24,2.09,1
Muscatel Middle,62.27,65.19,2.92,54.62,56.01,1.39,1
Murrieta Mesa High,63.75,71.68,7.93,32.5,38.41,5.91,1
Berkshire Elementary,57.22,49.64,-7.58,37.25,35.82,-1.43,1
Durham Unified School District,53.88,53.01,-0.87,48.11,46.9,-1.21,0
Orchard Elementary School District,54.9,58.87,3.97,50.09,50.98,0.89,0
McPherson Magnet,70.22,71.5,1.28,61.21,63.23,2.02,1
Catherine L. Zane Middle,36.96,36.28,-0.68,28.62,27.76,-0.86,1
Los Arboles Middle,28.64,31.38,2.74,16.31,15.1,-1.21,1
Heritage High,74.39,82.98,8.59,50,55.42,5.42,1
Orchard Elementary,55,58.97,3.97,50.18,51.07,0.89,1
Bethany Elementary,74.58,75.98,1.4,71.4,72.52,1.12,1
South Monterey County Joint Union High School District,47.66,52.59,4.93,13.06,14.39,1.33,0
Bass Lake Joint Union Elementary School District,45.06,43.34,-1.72,37.57,34.53,-3.04,0
McSwain Union Elementary School District,58.75,60.75,2,41.25,42.53,1.28,0
McSwain Elementary,58.75,60.75,2,41.25,42.53,1.28,1
Lyle S. Briggs Fundamental,47.76,47.42,-0.34,37.04,34.99,-2.05,1
George T. Egling Middle,39.74,40.07,0.33,27.36,31.08,3.72,1
Walter Colton,30.58,33.94,3.36,15.79,22.24,6.45,1
American Indian Public Charter II,63.8,62.59,-1.21,66.39,73.13,6.74,1
Marina High,75.85,72.73,-3.12,56.57,46.28,-10.29,1
Westview High,84.35,81.75,-2.6,69.59,79.14,9.55,1
Gold River Discovery Center K-8,65.83,66.13,0.3,65.42,62.08,-3.34,1
McKinley Elementary,22.43,27.14,4.71,17.72,19.96,2.24,1
Imperial Middle,35.66,48.11,12.45,18.72,26.38,7.66,1
Nettie L. Waite Middle,27.92,30.3,2.38,16.27,16.04,-0.23,1
Earlimart Middle,32.16,30.12,-2.04,15.59,20.54,4.95,1
Wilson Middle,40.03,40.07,0.04,28.01,29.11,1.1,1
