School / District,English: Standard Met or Exceeded 2018,English: Standard Met or Exceeded 2019,English: Percentage Changed,Math: Standard Met or Exceeded 2018,Math: Standard Met or Exceeded 2019,Math: Percentage Changed,IsSchool
Cajon Valley Union School District,41.75,41.44,-0.31,32.37,32.56,0.19,0
Oxnard School District,25.55,29.51,3.96,13.92,17.24,3.32,0
Hayward Unified School District,37.08,36.87,-0.21,25.87,25.37,-0.5,0
Newport-Mesa Unified School District,59.85,63.12,3.27,51.07,53.08,2.01,0
Folsom-Cordova Unified School District,63.61,63.21,-0.4,52.58,52.04,-0.54,0
Madera Unified School District,33.03,34.97,1.94,22.22,21.96,-0.26,0
William S. Hart Union High School District,72.02,73.21,1.19,52.71,52.94,0.23,0
Vista Unified School District,48.73,49.71,0.98,33.88,37.04,3.16,0
Jurupa Unified School District,36.02,37.68,1.66,23.54,24.68,1.14,0
Pajaro Valley Unified School District,32.57,32.38,-0.19,22.56,23.35,0.79,0
Escondido Union School District,41.8,41.71,-0.09,29.54,30.16,0.62,0
Modesto City Elementary School District,30.92,30.78,-0.14,20.87,22.06,1.19,0
Coachella Valley Unified School District,28.21,28.85,0.64,19.06,20.55,1.49,0
Alvord Unified School District,40.29,42.19,1.9,27.24,27.76,0.52,0
Hacienda la Puente Unified School District,52.57,55.19,2.62,39.62,41.54,1.92,0
Etiwanda Elementary School District,70.89,69.98,-0.91,60.69,61.39,0.7,0
Anaheim Elementary School District,30.22,33.66,3.44,24.75,27.84,3.09,0
Norwalk-La Mirada Unified School District,45.55,47.24,1.69,32.18,34.99,2.81,0
Conejo Valley Unified School District,63.28,66.49,3.21,57.13,57.5,0.37,0
Lancaster Elementary School District,32.52,32.01,-0.51,17.57,18.03,0.46,0
Napa Valley Unified School District,46.55,47.91,1.36,33.88,34.84,0.96,0
Oceanside Unified School District,44.24,45.55,1.31,35.32,36.23,0.91,0
Fullerton Elementary School District,59.02,57.7,-1.32,50.97,51.31,0.34,0
Ventura Unified School District,54.29,54.84,0.55,42.44,44,1.56,0
Simi Valley Unified School District,54.78,54.17,-0.61,43.22,43,-0.22,0
Antioch Unified School District,31.12,29.38,-1.74,18.18,16.86,-1.32,0
Pasadena Unified School District,44.67,45.42,0.75,34.93,35.24,0.31,0
Central Unified School District,43.92,44.4,0.48,30.85,32.85,2,0
Pleasanton Unified School District,80.88,78.92,-1.96,76.85,75.03,-1.82,0
Alhambra Unified School District,63.32,63.62,0.3,55.43,56.38,0.95,0
Paramount Unified School District,40.94,41.18,0.24,29.83,29.49,-0.34,0
La Mesa-Spring Valley School District,53.35,52.87,-0.48,40.1,41.74,1.64,0
Ceres Unified School District,42.32,37.98,-4.34,24.44,24.47,0.03,0
Burbank Unified School District,63.42,64.71,1.29,50.41,51.18,0.77,0
Evergreen Elementary School District,64.94,65.82,0.88,61.25,61.4,0.15,0
Santa Clara Unified School District,58.47,62.17,3.7,50.65,52.07,1.42,0
Tracy Joint Unified School District,41.98,43.64,1.66,29.93,31.04,1.11,0
Walnut Valley Unified School District,76.03,77.08,1.05,73.87,74.87,1,0
San Mateo-Foster City School District,62.4,62.15,-0.25,54.98,55.56,0.58,0
Salinas Union High School District,38.72,38.78,0.06,20.87,22.67,1.8,0
Victor Elementary School District,33.85,33.29,-0.56,22.83,25.14,2.31,0
Turlock Unified School District,44.92,45.61,0.69,29.6,31.45,1.85,0
Roseville City Elementary School District,63.8,65.15,1.35,52.82,52.71,-0.11,0
Lynwood Unified School District,34.93,37.69,2.76,24.22,26.07,1.85,0
Merced City Elementary School District,39.87,40.78,0.91,25.34,26.68,1.34,0
Livermore Valley Joint Unified School District,62.27,62.93,0.66,51.03,50.16,-0.87,0
Rowland Unified School District,50.74,51,0.26,39.98,41.04,1.06,0
Natomas Unified School District,44.14,47.12,2.98,32.29,34.87,2.58,0
Apple Valley Unified School District,40.23,40.31,0.08,25.2,24.75,-0.45,0
Santa Barbara Unified School District,54.92,54.21,-0.71,43.34,45.02,1.68,0
Menifee Union Elementary School District,53.68,55.98,2.3,43.07,43.12,0.05,0
Baldwin Park Unified School District,42.82,43.78,0.96,28.2,29.25,1.05,0
Porterville Unified School District,43.74,44.06,0.32,27.1,28.39,1.29,0
Sanger Unified School District,51.83,52.75,0.92,40.93,43.19,2.26,0
Yuba City Unified School District,46.17,47.67,1.5,28.45,29.59,1.14,0
Vacaville Unified School District,50.49,51.98,1.49,38.1,37.06,-1.04,0
Oak Grove Elementary School District,53.88,53.51,-0.37,46.32,47.65,1.33,0
Westside Union Elementary School District,48.23,49.22,0.99,33.55,33.97,0.42,0
Dublin Unified School District,78.47,78.41,-0.06,73.59,73.42,-0.17,0
Rocklin Unified School District,70.2,71.19,0.99,63.45,62.9,-0.55,0
Vallejo City Unified School District,30.26,29.76,-0.5,19.85,20.38,0.53,0
Alum Rock Union Elementary School District,38.67,37.83,-0.84,30.42,29.17,-1.25,0
Chico Unified School District,53.37,55.94,2.57,43.76,42.63,-1.13,0
Tulare City School District,33.31,35.92,2.61,22.09,22.3,0.21,0
Greenfield Union School District,48.45,49.5,1.05,35.5,35.24,-0.26,0
San Dieguito Union High School District,80.33,79.55,-0.78,72.17,72.11,-0.06,0
Bellflower Unified School District,49.69,50.28,0.59,31.13,32.2,1.07,0
Brentwood Union Elementary School District,59.64,59.56,-0.08,50.31,50.89,0.58,0
Westminster School District,57.14,57.94,0.8,52.7,51.91,-0.79,0
Palo Alto Unified School District,81.89,81.48,-0.41,83.07,81.66,-1.41,0
Pittsburg Unified School District,34.25,35.46,1.21,19.65,20.81,1.16,0
Los Banos Unified School District,37.86,38.75,0.89,22.7,25.98,3.28,0
Carlsbad Unified School District,74.25,75.79,1.54,66.31,67.82,1.51,0
Covina-Valley Unified School District,52.72,54.53,1.81,36.57,38.73,2.16,0
Gilroy Unified School District,47.33,48.19,0.86,40.47,41.14,0.67,0
East Whittier City Elementary School District,61.31,59.83,-1.48,48.51,51.82,3.31,0
Palos Verdes Peninsula Unified School District,77.24,76.13,-1.11,71.72,72.04,0.32,0
New Haven Unified School District,51.12,50.86,-0.26,39.93,41.92,1.99,0
Las Virgenes Unified School District,68.98,70.26,1.28,59.72,59.48,-0.24,0
Upland Unified School District,52.92,53.01,0.09,38.52,39.33,0.81,0
Chaffey Joint Union High School District,65.05,66.41,1.36,36.95,38.42,1.47,0
Sylvan Union Elementary School District,52.68,52.39,-0.29,42.35,44.06,1.71,0
Saugus Union School District,64.7,66.34,1.64,53.28,56.06,2.78,0
Beaumont Unified School District,48.37,49.24,0.87,34.18,36.63,2.45,0
Hueneme Elementary School District,28.3,29.41,1.11,17.63,17.53,-0.1,0
Adelanto Elementary School District,26.58,27.76,1.18,15.43,16.76,1.33,0
San Jacinto Unified School District,35.5,36,0.5,21.12,22.36,1.24,0
Ocean View School District,63.85,63.06,-0.79,57.09,57.55,0.46,0
